city,event_type,day_of_week,price,marketing_budget,venue_capacity,temperature,is_raining,attendance
Satna,Standup Comedy,0,333,35540,283,43,0,181
Indore,Religious/Cultural,0,316,22178,289,35,0,267
Gwalior,Standup Comedy,3,196,25579,66,30,0,66
Indore,Tech Meetup,2,343,7879,63,31,0,9
Bhopal,Food Festival,0,404,93882,4758,38,0,2671
Satna,Cricket Screening,4,406,34911,494,36,0,216
Satna,Standup Comedy,3,943,17396,91,24,0,84
Jabalpur,Music Concert,0,1229,74137,7813,30,0,4098
Rewa,Cricket Screening,4,84,55977,286,38,0,227
Gwalior,Tech Meetup,5,413,36471,153,43,0,21
Rewa,Food Festival,1,973,13560,2536,18,0,679
Jabalpur,Food Festival,2,50,76585,4324,16,0,2729
Jabalpur,Music Concert,5,2632,79803,10405,28,0,9145
Satna,Tech Meetup,2,150,58277,237,31,0,237
Jabalpur,Cricket Screening,2,244,94881,172,26,0,172
Gwalior,Cricket Screening,6,490,65856,490,15,0,451
Jabalpur,Religious/Cultural,3,205,50858,202,27,0,202
Gwalior,Standup Comedy,4,825,35964,157,16,0,150
Jabalpur,Music Concert,1,4257,3372,10400,43,0,1957
Gwalior,Music Concert,0,3364,71414,8410,27,0,5527
Jabalpur,Music Concert,4,2668,28560,8047,20,0,4264
Indore,Music Concert,1,1730,52504,5585,17,0,4212
Gwalior,Tech Meetup,1,322,38192,234,30,0,30
Rewa,Tech Meetup,2,493,38338,175,45,0,14
Indore,Religious/Cultural,6,590,65070,67,16,0,67
Bhopal,Cricket Screening,4,859,62848,128,40,0,128
Bhopal,Cricket Screening,1,605,54394,470,20,0,362
Satna,Cricket Screening,4,890,94067,410,23,0,410
Rewa,Religious/Cultural,2,431,67648,285,28,0,285
Ujjain,Music Concert,2,4424,41485,6774,36,0,4802
Jabalpur,Religious/Cultural,1,319,37680,67,26,0,67
Jabalpur,Religious/Cultural,4,403,50206,57,19,0,57
Ujjain,Religious/Cultural,2,488,75206,284,28,0,284
Indore,Tech Meetup,4,248,18068,195,39,0,128
Indore,Music Concert,5,4796,75131,7424,33,0,4864
Rewa,Music Concert,1,4570,12805,7842,23,0,3658
Gwalior,Food Festival,1,819,14087,4969,28,0,1495
Rewa,Music Concert,2,3721,67569,10474,36,0,5664
Satna,Music Concert,6,803,506,9069,26,0,6637
Bhopal,Cricket Screening,5,183,89974,233,42,0,204
Ujjain,Religious/Cultural,3,91,32535,140,45,0,110
Jabalpur,Standup Comedy,1,642,32826,251,26,0,203
Ujjain,Standup Comedy,0,545,6553,147,41,0,30
Gwalior,Religious/Cultural,2,727,84629,243,44,0,243
Rewa,Tech Meetup,6,465,87373,216,42,0,81
Gwalior,Standup Comedy,6,721,72196,65,42,0,65
Jabalpur,Food Festival,0,242,94841,4995,20,0,2190
Ujjain,Music Concert,3,1808,95902,12091,38,0,4451
Bhopal,Standup Comedy,5,109,80409,118,37,0,118
Ujjain,Religious/Cultural,6,241,18968,86,31,0,86
Bhopal,Food Festival,5,228,21356,1855,44,0,684
Rewa,Standup Comedy,3,739,92286,222,29,0,222
Jabalpur,Tech Meetup,3,124,3038,85,44,0,24
Bhopal,Music Concert,0,2867,94858,10577,24,0,6348
Indore,Cricket Screening,5,271,48239,291,18,0,291
Jabalpur,Religious/Cultural,0,649,50149,64,42,0,64
Satna,Religious/Cultural,3,256,7338,204,34,0,143
Bhopal,Music Concert,2,2038,33131,2182,37,0,1556
Jabalpur,Tech Meetup,6,28,69374,95,28,0,95
Gwalior,Standup Comedy,0,323,93476,73,29,0,73
Jabalpur,Standup Comedy,6,997,77707,219,28,0,219
Jabalpur,Religious/Cultural,5,617,60446,293,22,0,293
Ujjain,Religious/Cultural,0,154,27505,153,34,0,153
Satna,Food Festival,1,480,32058,4585,25,0,3152
Jabalpur,Food Festival,6,527,39673,3044,33,0,1116
Indore,Food Festival,4,314,69650,4114,39,0,2011
Jabalpur,Tech Meetup,6,479,1911,224,15,0,13
Indore,Standup Comedy,2,776,99229,118,33,0,118
Gwalior,Music Concert,4,825,73355,9904,42,0,2196
Indore,Cricket Screening,1,772,81691,166,42,0,166
Ujjain,Music Concert,4,3347,22911,5685,27,0,2904
Rewa,Music Concert,1,1494,3574,2655,41,0,768
Bhopal,Cricket Screening,0,212,24274,432,17,0,203
Rewa,Tech Meetup,2,181,3115,286,38,0,38
Gwalior,Food Festival,4,440,93164,3137,22,0,2156
Indore,Tech Meetup,0,241,26103,155,28,0,155
Rewa,Religious/Cultural,5,722,57119,254,25,0,254
Ujjain,Cricket Screening,2,803,48415,133,36,0,133
Ujjain,Religious/Cultural,3,705,54735,289,41,0,265
Satna,Food Festival,3,643,62305,1555,38,0,616
Ujjain,Music Concert,3,3923,85606,4903,45,0,1879
Bhopal,Religious/Cultural,2,632,25788,226,16,0,171
Ujjain,Music Concert,5,2159,91556,3955,22,0,3065
Jabalpur,Food Festival,3,232,95394,3080,43,0,1461
Satna,Tech Meetup,1,424,12498,213,33,0,24
Satna,Cricket Screening,4,649,78327,376,34,0,376
Jabalpur,Standup Comedy,2,959,12399,92,16,0,71
Satna,Tech Meetup,1,79,14420,71,22,0,54
Satna,Religious/Cultural,3,251,78108,277,28,0,277
Gwalior,Tech Meetup,3,349,22127,188,45,0,14
Ujjain,Tech Meetup,6,233,51581,237,23,0,237
Rewa,Cricket Screening,5,433,67928,168,30,0,168
Rewa,Standup Comedy,3,494,90949,163,26,0,163
Jabalpur,Religious/Cultural,2,974,28935,98,36,0,98
Satna,Standup Comedy,0,398,7358,272,40,0,100
Bhopal,Music Concert,6,3215,90910,8485,41,0,3309
Gwalior,Music Concert,4,1678,82532,13881,39,0,4919
Ujjain,Food Festival,4,840,44805,3520,41,0,710
Gwalior,Music Concert,2,4383,95588,12924,45,0,3802
Rewa,Music Concert,1,2840,93848,2657,15,0,1417
Bhopal,Tech Meetup,0,352,37966,235,33,0,33
Rewa,Tech Meetup,6,369,17434,121,41,0,10
Satna,Food Festival,1,529,37203,3402,30,0,651
Indore,Food Festival,4,267,68194,4017,34,0,2561
Jabalpur,Cricket Screening,1,144,45125,248,27,0,248
Bhopal,Cricket Screening,1,129,3571,390,17,0,103
Satna,Cricket Screening,0,676,79899,211,39,0,211
Ujjain,Standup Comedy,6,404,73382,222,30,0,222
Rewa,Tech Meetup,3,342,62517,144,17,0,66
Satna,Food Festival,1,95,67740,3623,43,0,765
Ujjain,Religious/Cultural,5,715,39667,245,36,0,245
Bhopal,Music Concert,1,2510,27491,12635,34,0,8283
Gwalior,Standup Comedy,0,598,53930,226,18,0,226
Jabalpur,Food Festival,2,364,39718,1586,43,0,717
Ujjain,Cricket Screening,5,571,88209,313,36,0,313
Indore,Tech Meetup,5,162,43697,273,22,0,273
Indore,Food Festival,1,451,51098,4331,43,0,1190
Jabalpur,Standup Comedy,2,561,1348,283,28,0,55
Rewa,Cricket Screening,3,621,75700,440,15,0,281
Indore,Tech Meetup,1,469,85214,264,16,0,85
Satna,Tech Meetup,4,88,17332,206,16,0,138
Jabalpur,Tech Meetup,4,42,46535,61,42,0,61
Gwalior,Standup Comedy,0,375,82072,173,16,0,173
Indore,Music Concert,5,4552,54412,11437,44,0,4945
Gwalior,Music Concert,0,4583,79409,6444,34,0,2686
Bhopal,Standup Comedy,4,812,12942,283,23,0,129
Gwalior,Food Festival,5,814,72448,3172,31,0,1355
Satna,Tech Meetup,3,181,95442,153,20,0,153
Ujjain,Standup Comedy,2,555,82948,171,20,0,171
Satna,Food Festival,5,502,97405,4720,29,0,2133
Satna,Cricket Screening,3,751,19981,499,40,0,138
Jabalpur,Standup Comedy,5,352,89805,197,42,0,171
Indore,Tech Meetup,5,395,20351,231,40,0,33
Indore,Religious/Cultural,1,673,28101,286,22,0,203
Indore,Tech Meetup,1,106,29690,119,23,0,119
Bhopal,Music Concert,0,1362,74219,7051,37,0,4343
Satna,Tech Meetup,1,268,89921,153,42,0,153
Gwalior,Tech Meetup,0,151,42210,50,32,0,50
Satna,Cricket Screening,4,585,51809,393,39,0,265
Gwalior,Tech Meetup,6,104,508,156,21,0,86
Indore,Standup Comedy,1,745,73724,290,25,0,290
Ujjain,Food Festival,1,530,37579,2177,19,0,499
Satna,Music Concert,4,2946,5347,13213,36,0,8464
Satna,Religious/Cultural,0,511,89499,130,45,0,130
Rewa,Food Festival,2,482,16015,3476,34,0,1550
Gwalior,Music Concert,2,3195,27935,11163,35,0,4638
Jabalpur,Religious/Cultural,2,981,18107,69,30,0,69
Satna,Tech Meetup,2,256,4277,88,39,0,30
Rewa,Music Concert,0,1901,2585,11085,22,0,4991
Jabalpur,Music Concert,3,4592,43386,3539,43,0,1442
Ujjain,Standup Comedy,4,995,97275,224,19,0,224
Gwalior,Music Concert,0,4465,190,11607,28,0,7672
Bhopal,Religious/Cultural,4,54,20786,183,22,0,183
Rewa,Standup Comedy,4,200,6793,55,29,0,39
Rewa,Religious/Cultural,3,571,62553,65,42,0,65
Ujjain,Cricket Screening,4,985,83040,310,19,0,310
Gwalior,Standup Comedy,4,650,20020,274,42,0,85
Jabalpur,Music Concert,3,2381,73165,2123,31,0,923
Satna,Music Concert,0,2536,76296,10219,28,0,6971
Gwalior,Tech Meetup,3,95,35114,160,32,0,142
Indore,Tech Meetup,5,219,48189,72,18,0,72
Rewa,Cricket Screening,5,598,69970,387,43,0,259
Bhopal,Music Concert,4,3731,26753,2190,22,0,1712
Satna,Food Festival,0,68,87460,1971,21,0,1576
Satna,Music Concert,1,2257,11497,13454,42,0,2805
Rewa,Food Festival,6,269,78950,1821,43,0,788
Ujjain,Music Concert,4,2154,91149,3377,37,0,1462
Bhopal,Standup Comedy,1,854,59332,167,29,0,167
Satna,Music Concert,2,4996,24575,10203,41,0,2501
Rewa,Tech Meetup,6,459,27536,157,24,0,29
Rewa,Tech Meetup,5,299,34992,163,16,0,163
Bhopal,Standup Comedy,3,400,44298,249,16,0,249
Indore,Food Festival,6,314,57803,4669,41,0,2447
Bhopal,Standup Comedy,2,229,71411,209,19,0,209
Satna,Tech Meetup,2,12,32212,102,36,0,102
Ujjain,Food Festival,4,145,10362,2378,19,0,1165
Ujjain,Tech Meetup,1,478,51220,216,35,0,61
Ujjain,Cricket Screening,0,163,9203,391,26,0,152
Satna,Standup Comedy,6,956,62412,293,16,0,293
Indore,Religious/Cultural,4,648,24903,173,19,0,173
Jabalpur,Music Concert,4,4721,56028,2956,21,0,1407
Jabalpur,Music Concert,4,888,57639,9351,30,0,3143
Rewa,Food Festival,0,940,20763,1626,27,0,336
Rewa,Music Concert,5,2871,43543,10329,43,0,4529
Gwalior,Cricket Screening,6,658,61888,394,26,0,394
Gwalior,Food Festival,6,452,89827,1888,40,0,1888
Jabalpur,Cricket Screening,1,225,97204,316,29,0,316
Bhopal,Standup Comedy,2,184,97006,222,23,0,222
Rewa,Music Concert,0,4063,74966,6748,45,0,2926
Jabalpur,Religious/Cultural,5,482,63739,176,42,0,175
Satna,Tech Meetup,5,312,34603,215,22,0,56
Gwalior,Religious/Cultural,0,807,60317,160,30,0,160
Gwalior,Religious/Cultural,5,807,63408,152,34,0,152
Ujjain,Music Concert,4,2382,12258,8384,35,0,5670
Bhopal,Cricket Screening,3,974,51951,400,19,0,238
Indore,Religious/Cultural,3,92,21294,265,20,0,265
Gwalior,Food Festival,1,731,58914,3311,24,0,1105
Rewa,Standup Comedy,1,95,82973,173,36,0,173
Ujjain,Standup Comedy,4,240,68716,166,37,0,166
Satna,Standup Comedy,0,151,29326,280,34,0,149
Satna,Music Concert,1,2678,3820,8874,32,0,5165
Bhopal,Food Festival,4,532,32892,2709,18,0,1097
Bhopal,Standup Comedy,0,765,24355,65,23,0,65
Bhopal,Music Concert,0,3654,13645,11233,17,0,8051
Rewa,Food Festival,5,352,86122,4149,40,0,2279
Gwalior,Food Festival,1,497,86432,3011,35,0,2092
Gwalior,Religious/Cultural,4,498,2497,103,31,0,65
Bhopal,Food Festival,0,680,10160,4812,44,0,600
Ujjain,Cricket Screening,3,850,80224,467,22,0,256
Bhopal,Religious/Cultural,1,308,18085,71,33,0,71
Rewa,Tech Meetup,0,47,36483,205,18,0,205
Indore,Cricket Screening,6,317,50837,251,26,0,251
Rewa,Religious/Cultural,0,986,25855,236,39,0,204
Jabalpur,Music Concert,3,4664,54113,6886,21,0,4515
Gwalior,Cricket Screening,6,396,89751,117,16,0,117
Rewa,Cricket Screening,0,657,20230,275,35,0,129
Satna,Religious/Cultural,4,685,72200,107,39,0,107
Bhopal,Cricket Screening,4,546,2092,118,32,0,45
Ujjain,Music Concert,5,1989,14055,2091,24,0,1773
Ujjain,Tech Meetup,0,122,91973,63,19,0,63
Bhopal,Religious/Cultural,3,151,59608,269,32,0,269
Rewa,Religious/Cultural,3,53,92945,102,41,0,102
Ujjain,Tech Meetup,6,418,26328,251,31,0,35
Rewa,Cricket Screening,3,684,12081,481,37,0,172
Jabalpur,Cricket Screening,6,154,35815,407,43,0,186
Rewa,Standup Comedy,0,106,72748,109,23,0,109
Ujjain,Cricket Screening,3,613,53140,262,22,0,262
Ujjain,Music Concert,5,4948,62876,13506,16,0,8653
Gwalior,Food Festival,6,172,84515,2019,44,0,823
Gwalior,Food Festival,6,913,33500,2548,32,0,1046
Satna,Food Festival,1,489,63433,1241,37,0,974
Jabalpur,Food Festival,0,982,74975,3984,22,0,1358
Ujjain,Tech Meetup,5,15,36777,177,42,0,123
Bhopal,Food Festival,6,611,32556,3321,32,0,1316
Indore,Tech Meetup,2,94,26474,156,20,0,156
Gwalior,Standup Comedy,2,822,62850,237,41,0,232
Indore,Food Festival,0,302,97348,1115,18,0,775
Ujjain,Music Concert,5,2361,84206,10827,29,0,7798
Gwalior,Tech Meetup,3,92,26757,203,34,0,201
Ujjain,Tech Meetup,4,172,26023,179,23,0,179
Gwalior,Food Festival,5,611,3243,1697,19,0,705
Ujjain,Music Concert,3,3789,53212,7581,20,0,4907
Bhopal,Tech Meetup,3,72,36346,97,45,0,97
Bhopal,Standup Comedy,4,62,96237,130,27,0,130
Indore,Cricket Screening,6,793,7525,482,36,0,266
Indore,Music Concert,3,2389,72858,12148,26,0,8145
Gwalior,Tech Meetup,3,92,69839,154,33,0,154
Jabalpur,Music Concert,4,1627,46579,11755,15,0,8348
Bhopal,Tech Meetup,5,286,45459,249,44,0,183
Bhopal,Religious/Cultural,5,626,58809,51,17,0,51
Indore,Tech Meetup,4,364,7182,253,25,0,20
Indore,Tech Meetup,4,483,29445,219,28,0,29
Rewa,Food Festival,0,287,85794,1509,37,0,912
Satna,Cricket Screening,2,790,14129,350,40,0,137
Indore,Tech Meetup,1,134,71820,194,30,0,194
Rewa,Food Festival,5,134,57073,2557,32,0,2206
Satna,Food Festival,2,206,8288,1377,22,0,597
Gwalior,Food Festival,1,322,13482,1272,41,0,396
Indore,Tech Meetup,1,228,78279,128,29,0,128
Bhopal,Standup Comedy,0,694,68849,164,39,0,164
Gwalior,Standup Comedy,4,839,59,266,33,0,90
Rewa,Food Festival,1,648,21562,1922,22,0,681
Gwalior,Cricket Screening,2,549,86545,407,31,0,407
Gwalior,Tech Meetup,0,142,43719,72,21,0,72
Ujjain,Religious/Cultural,0,971,82941,264,45,0,264
Rewa,Religious/Cultural,5,934,22274,134,41,0,76
Rewa,Food Festival,1,158,76602,4958,37,0,2924
Indore,Cricket Screening,2,584,68430,183,27,0,183
Ujjain,Tech Meetup,3,70,45592,268,36,0,268
Bhopal,Music Concert,4,2915,86842,9035,42,0,2589
Satna,Cricket Screening,1,358,56789,219,43,0,138
Indore,Cricket Screening,1,277,51933,378,20,0,246
Jabalpur,Cricket Screening,1,489,3043,204,15,0,75
Rewa,Standup Comedy,0,889,8978,73,36,0,73
Indore,Standup Comedy,0,464,25093,282,35,0,234
Jabalpur,Food Festival,1,989,33887,2047,15,0,648
Rewa,Tech Meetup,2,89,78307,282,31,0,282
Gwalior,Cricket Screening,5,143,70718,409,33,0,409
Indore,Tech Meetup,4,214,87125,211,24,0,211
Indore,Religious/Cultural,6,864,96623,251,25,0,251
Satna,Religious/Cultural,3,731,63258,65,41,0,65
Jabalpur,Standup Comedy,3,471,84381,216,15,0,216
Rewa,Music Concert,3,1159,5973,5835,40,0,1795
Satna,Religious/Cultural,0,669,8350,121,45,0,61
Ujjain,Food Festival,0,362,4167,1031,35,0,648
Jabalpur,Food Festival,1,933,56484,3397,31,0,1202
Ujjain,Religious/Cultural,4,919,83253,226,31,0,226
Ujjain,Religious/Cultural,2,690,66563,145,18,0,145
Satna,Food Festival,0,521,84397,2928,33,0,578
Rewa,Tech Meetup,2,400,44918,55,36,0,37
Indore,Tech Meetup,0,251,33300,285,37,0,228
Satna,Cricket Screening,1,490,61007,391,33,0,363
Jabalpur,Food Festival,4,217,78791,1709,27,0,1008
Gwalior,Food Festival,1,447,30878,3058,39,0,1921
Gwalior,Tech Meetup,6,23,36013,165,32,0,165
Gwalior,Cricket Screening,3,1000,48188,468,27,0,198
Satna,Religious/Cultural,0,972,2885,236,39,0,108
Satna,Tech Meetup,3,154,97888,96,26,0,96
Jabalpur,Tech Meetup,6,246,27257,215,32,0,215
Ujjain,Music Concert,3,1689,29148,13888,19,0,4490
Jabalpur,Food Festival,1,59,46878,2070,41,0,676
Satna,Religious/Cultural,2,261,18829,231,42,0,91
Bhopal,Food Festival,4,958,98865,2103,25,0,858
Gwalior,Religious/Cultural,5,884,95282,81,20,0,81
Bhopal,Music Concert,3,3851,55493,3928,31,0,2358
Jabalpur,Cricket Screening,2,340,91107,485,24,0,435
Bhopal,Tech Meetup,1,400,72366,184,36,0,64
Rewa,Music Concert,3,794,38801,5704,16,0,2563
Jabalpur,Religious/Cultural,0,729,63723,154,29,0,154
Jabalpur,Music Concert,6,4076,22375,10212,41,0,4971
Satna,Music Concert,5,4595,88217,13647,43,0,6969
Jabalpur,Music Concert,0,2670,54050,6987,21,0,4590
Ujjain,Music Concert,4,3001,48561,8778,16,0,4366
Rewa,Cricket Screening,6,387,89474,272,29,0,272
Indore,Standup Comedy,3,420,36970,293,36,0,228
Bhopal,Music Concert,3,2102,40611,9391,36,0,6123
Ujjain,Music Concert,3,1404,46883,9702,41,0,2299
Gwalior,Tech Meetup,2,124,92783,261,38,0,261
Satna,Tech Meetup,6,322,25767,160,35,0,40
Jabalpur,Religious/Cultural,6,634,3473,61,36,0,61
Ujjain,Religious/Cultural,1,441,16088,70,15,0,70
Bhopal,Cricket Screening,4,701,82946,207,23,0,207
Rewa,Music Concert,1,2449,85238,3217,41,0,857
Rewa,Standup Comedy,0,800,97703,59,34,0,59
Ujjain,Music Concert,4,2011,37098,14029,43,0,5363
Gwalior,Food Festival,0,891,74346,2600,29,0,531
Rewa,Tech Meetup,5,498,14036,53,40,0,12
Jabalpur,Standup Comedy,4,688,36324,249,39,0,249
Bhopal,Food Festival,1,650,1705,4879,30,0,1552
Indore,Cricket Screening,6,590,66783,117,33,0,117
Bhopal,Tech Meetup,6,20,49367,271,31,0,246
Ujjain,Music Concert,1,1255,30055,8268,38,0,3336
Bhopal,Religious/Cultural,4,821,11056,148,43,0,85
Gwalior,Music Concert,4,3466,28676,8338,32,0,4028
Gwalior,Music Concert,0,2212,10076,8027,45,0,2897
Rewa,Religious/Cultural,0,782,15454,169,44,0,73
Satna,Music Concert,1,4236,18060,11168,42,0,3669
Bhopal,Music Concert,1,4417,81834,2508,24,0,1501
Gwalior,Religious/Cultural,1,855,40849,188,24,0,188
Satna,Tech Meetup,3,139,95771,239,45,0,239
Satna,Standup Comedy,2,265,66655,108,34,0,108
Jabalpur,Cricket Screening,5,327,88775,235,23,0,235
Satna,Food Festival,4,758,84041,1255,16,0,462
Gwalior,Cricket Screening,2,285,41208,186,22,0,186
Bhopal,Tech Meetup,4,55,818,207,26,0,68
Bhopal,Cricket Screening,6,685,60047,280,25,0,280
Satna,Religious/Cultural,6,626,78138,193,25,0,193
Satna,Cricket Screening,1,991,47808,408,36,0,261
Rewa,Tech Meetup,6,339,70528,280,22,0,101
Satna,Standup Comedy,2,487,25769,112,40,0,112
Ujjain,Tech Meetup,6,321,9859,102,26,0,17
Satna,Music Concert,3,4232,69107,10178,39,0,7157
Bhopal,Food Festival,6,700,30100,3170,43,0,565
Indore,Music Concert,6,4558,8104,11287,26,0,10014
Gwalior,Music Concert,3,3089,34155,13324,16,0,8896
Ujjain,Cricket Screening,6,93,96147,314,21,0,314
Satna,Music Concert,2,647,82704,8635,23,0,4392
Satna,Standup Comedy,5,106,51873,291,27,0,258
Jabalpur,Religious/Cultural,5,486,93914,227,27,0,227
Ujjain,Cricket Screening,3,680,10289,457,16,0,170
Rewa,Standup Comedy,3,887,52497,174,30,0,174
Indore,Music Concert,5,1117,81220,5215,43,0,1995
Gwalior,Standup Comedy,6,790,93018,152,40,0,152
Gwalior,Standup Comedy,5,464,64288,197,43,0,197
